,company_id,2014-01-01_payments,2014-02-01_payments,2014-03-01_payments,2014-04-01_payments,2014-05-01_payments,2014-06-01_payments,2014-07-01_payments,2014-08-01_payments,2014-09-01_payments,2014-10-01_payments,2014-11-01_payments,2014-12-01_payments,2014-01-01_mandates,2014-02-01_mandates,2014-03-01_mandates,2014-04-01_mandates,2014-05-01_mandates,2014-06-01_mandates,2014-07-01_mandates,2014-08-01_mandates,2014-09-01_mandates,2014-10-01_mandates,2014-11-01_mandates,2014-12-01_mandates,vertical,incorporation_date
783,873,0.0,0.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2013-08-02
784,874,2.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,8.0,4.0,3.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,21.0,freelance developer,2011-08-31
785,875,14.0,11.0,13.0,12.0,10.0,14.0,12.0,10.0,13.0,15.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,gym/fitness,2007-07-09
786,876,3.0,3.0,6.0,7.0,7.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,32.0,15.0,7.0,5.0,18.0,10.0,2.0,5.0,9.0,5.0,18.0,9.0,freelance developer,2010-10-19
787,877,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,accountancy,2012-09-14
788,878,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,gym/fitness,2006-04-18
789,879,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,37.0,36.0,17.0,16.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,gym/fitness,2009-03-12
790,880,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,6.0,7.0,4.0,0.0,gym/fitness,2009-03-08
791,881,0.0,0.0,0.0,10.0,9.0,1.0,0.0,1.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,accountancy,2010-12-17
792,882,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,0.0,freelance developer,2007-08-25
